书名,作者,出版日期,出版社,原价,售价,折扣比例,排序,排行榜类型,推荐值,电子书价格,评论数
男孩百科--优秀男孩的学习妙招,彭凡,2017-01-01,化学工业出版社,25.0,18.0,0.72,229,2022年,100%,3.7,92029.0
刀锋（毛姆经典哲思之作，苏州大学方华文教授全新修订&详细注释本,毛姆,2018-05-14,时代文艺出版社,38.0,15.2,0.4,237,2022年,99.9%,2.0,88531.0
爱，需要学习（为中国式亲密关系度身定制的实践指南，心理学者陈,陈海贤,2022-01-05,新星出版社,69.0,49.6,0.72,240,2022年,100%,48.7,50723.0
树孩：赵丽宏全新力作（2021年度中国好书获奖图书）,赵丽宏,2021-09-01,长江文艺出版社,30.0,15.0,0.5,241,2022年,100%,14.0,84598.0
了不起（冯唐成事学全新力作，一个人活明白了才是真的了不起！）,冯唐,2022-08-01,北京联合出版有限公司,68.0,34.0,0.5,244,2022年,100%,68.0,75591.0
不爱说话的十一岁・纽伯瑞儿童文学奖金奖（写尽8~12岁孩子的心事,艾琳.恩瑞达.凯莉,2020-05-31,文汇出版社,35.8,17.9,0.5,247,2022年,100%,23.6,83908.0
早起的奇迹,哈尔・埃尔罗德,2018-02-01,广东人民出版社,39.8,31.4,0.79,258,2022年,100%,20.0,93062.0
变量4：大国的腾挪（熬过去，就是海阔天空！看智慧的中国人如何腾,何帆,2022-01-04,新星出版社,69.0,34.5,0.5,261,2022年,99.9%,65.6,33131.0
东野圭吾：透明的螺旋（东野圭吾新书，《嫌疑人X的献身》系列新作,东野圭吾,2022-04-01,南海出版公司,49.0,36.75,0.75,263,2022年,100%,40.0,72576.0
悠悠岁月（2022年诺贝尔文学奖得主安妮・埃尔诺作品）,安妮・埃尔诺,2021-05-01,人民文学出版社,39.0,24.2,0.62,264,2022年,99.9%,23.1,67660.0
复活（精装大开本，托尔斯泰三部曲之一，草婴翻译，无删节全译本,列夫・托尔斯泰,2019-10-30,时代文艺出版社,73.0,30.7,0.42000000000000004,267,2022年,99.9%,21.8,61475.0
职场晋升101（学会本书一小半，骑着火箭往上蹿！30万人验证过的职,崔璀,2022-04-01,江苏凤凰文艺出版社,49.0,24.5,0.5,290,2022年,100%,30.0,39955.0
